Object_ID, Length, Assignment
28183-2,176,NA
28196-2,142,NA
28264-2,178,NA
28333-2,151,NA
28402-2,168,NA
28403-2,159,1747
28428-2,175,225324
28430-2,149,NA
28435-2,149,NA
28462-2,132,NA
28545-2,159,NA
28569-2,109,NA
28578-2,157,NA
28653-2,126,NA
28672-2,82,NA
28688-2,180,NA
28695-2,140,NA
28703-2,150,NA
28710-2,157,NA
28728-2,176,NA
28732-2,172,NA
28763-2,117,NA
28767-2,151,NA
28791-2,69,NA
28800-2,151,NA
28827-2,177,33178
28833-2,125,NA
28859-2,183,NA
28897-2,178,NA
28936-2,141,NA
29015-2,69,NA
29031-2,84,NA
29040-2,178,NA
29042-2,145,72556
29074-2,150,NA
29104-2,177,NA
29136-2,154,NA
29147-2,106,NA
29152-2,148,NA
29156-2,98,NA
29198-2,138,712630
29222-2,180,NA
29253-2,182,NA
29254-2,143,NA
29292-2,152,NA
29314-2,145,NA
29376-2,119,NA
29378-2,98,NA
29411-2,87,NA
29441-2,175,NA
29461-2,129,NA
29499-2,150,NA
29529-2,146,NA
29538-2,152,NA
29561-2,152,NA
29574-2,143,NA
29594-2,121,680
29651-2,122,NA
29672-2,161,NA
29676-2,156,NA
29678-2,123,NA
29685-2,152,NA
29686-2,187,NA
29706-2,142,NA
29749-2,151,NA
29797-2,153,NA
29804-2,138,NA
29807-2,134,NA
29852-2,151,NA
29859-2,148,NA
29863-2,137,NA
29884-2,188,NA
29889-2,175,NA
29933-2,147,NA
29945-2,142,NA
29950-2,147,NA
29953-2,176,NA
29981-2,185,NA
29984-2,150,NA
29985-2,145,NA
29998-2,155,NA
30027-2,134,NA
30067-2,117,NA
30084-2,178,NA
30088-2,142,NA
30230-2,65,NA
30255-2,145,NA
30256-2,99,NA
30263-2,143,NA
30273-2,110,NA
30360-2,150,NA
30374-2,149,NA
30394-2,63,NA
30429-2,154,NA
30462-2,157,NA
30467-2,153,NA
30543-2,87,NA
30645-2,133,NA
30650-2,115,NA
30659-2,146,303
30666-2,133,NA
30684-2,146,NA
30795-2,158,NA
30828-2,156,NA
30833-2,132,NA
30839-2,148,NA
30856-2,104,NA
30858-2,138,NA
30914-2,121,NA
30915-2,67,NA
30916-2,147,NA
30925-2,134,NA
30967-2,71,NA
31001-2,147,NA
31047-2,146,NA
31061-2,172,NA
31066-2,170,NA
31092-2,109,NA
31103-2,79,NA
31137-2,89,NA
31142-2,68,NA
31167-2,175,NA
31219-2,147,NA
31268-2,151,NA
31270-2,77,NA
31271-2,68,NA
31291-2,134,NA
31292-2,175,NA
31304-2,141,NA
31317-2,74,NA
31328-2,123,NA
31397-2,132,NA
31400-2,148,NA
31401-2,145,NA
31420-2,166,NA
31423-2,159,NA
31437-2,149,NA
31452-2,147,NA
31461-2,135,NA
31471-2,177,NA
31529-2,119,NA
31541-2,174,NA
31544-2,125,NA
31557-2,165,NA
31572-2,148,NA
31598-2,153,NA
31633-2,176,NA
31646-2,184,NA
31770-2,190,NA
31792-2,149,NA
31829-2,110,NA
31882-2,85,NA
31920-2,122,NA
31986-2,140,NA
31999-2,138,NA
32003-2,144,NA
32042-2,81,NA
32052-2,163,NA
32078-2,133,NA
32095-2,176,NA
32096-2,176,NA
32112-2,164,NA
32120-2,190,NA
32124-2,164,NA
32182-2,134,NA
32229-2,119,NA
32237-2,146,NA
32266-2,139,NA
32272-2,183,NA
32276-2,139,NA
32277-2,164,NA
32300-2,131,NA
32344-2,106,NA
32366-2,172,NA
32390-2,156,339
32431-2,98,NA
32446-2,166,NA
32487-2,138,NA
32496-2,160,NA
32536-2,73,NA
32540-2,136,NA
32553-2,140,NA
32556-2,107,NA
32557-2,142,NA
32564-2,173,NA
32570-2,87,NA
32577-2,124,NA
32584-2,147,NA
32585-2,153,NA
32653-2,149,NA
32675-2,138,NA
32718-2,135,NA
32744-2,174,NA
32752-2,180,NA
32796-2,142,NA
32839-2,181,NA
32870-2,156,305
32876-2,107,NA
32900-2,150,28450
32903-2,150,NA
32905-2,101,NA
32921-2,118,NA
32940-2,133,NA
32955-2,118,NA
32965-2,136,114
32973-2,178,666685
33001-2,76,NA
33005-2,69,NA
33041-2,144,NA
33055-2,88,NA
33059-2,159,NA
33060-2,74,NA
33061-2,121,NA
33103-2,87,NA
33141-2,146,NA
33143-2,150,NA
33160-2,163,NA
33162-2,172,NA
33185-2,141,NA
33195-2,163,NA
33214-2,147,NA
33223-2,110,NA
33231-2,153,NA
33261-2,152,NA
33321-2,151,NA
33324-2,143,NA
33357-2,62,NA
33374-2,114,NA
33376-2,75,294
33413-2,152,NA
33414-2,145,NA
33451-2,127,NA
33460-2,148,NA
33517-2,176,NA
33536-2,168,NA
33541-2,177,NA
33618-2,143,NA
33657-2,154,NA
33678-2,143,NA
33690-2,122,NA
33697-2,145,380
33708-2,147,NA
33740-2,152,NA
33752-2,137,NA
33763-2,156,NA
33838-2,135,NA
33859-2,158,NA
33861-2,153,NA
33865-2,139,NA
33883-2,140,1270
33916-2,175,NA
33917-2,148,NA
33923-2,127,NA
33938-2,156,NA
33950-2,90,NA
33962-2,147,NA
33965-2,145,NA
33968-2,176,NA
33971-2,184,NA
33978-2,131,NA
34019-2,151,NA
34030-2,179,NA
34031-2,119,NA
34035-2,171,NA
34219-2,105,NA
34245-2,143,NA
34259-2,155,NA
34274-2,142,NA
34305-2,173,NA
34307-2,162,NA
34315-2,159,NA
34320-2,183,NA
34336-2,186,562
34382-2,147,NA
34387-2,157,NA
34411-2,176,NA
34412-2,151,NA
34427-2,77,NA
34430-2,173,NA
34490-2,170,NA
34529-2,138,NA
34540-2,92,NA
34555-2,142,NA
34575-2,137,NA
34588-2,157,NA
34694-2,179,NA
34726-2,68,NA
34754-2,152,NA
34759-2,145,NA
34790-2,172,NA
34793-2,152,NA
34810-2,149,NA
34848-2,130,NA
34863-2,188,NA
34926-2,96,NA
34931-2,148,NA
34966-2,184,NA
34979-2,140,1747
35015-2,145,NA
35017-2,144,1747
35043-2,150,NA
35087-2,62,NA
35102-2,152,NA
35119-2,156,NA
35144-2,172,NA
35145-2,115,NA
35202-2,150,NA
35213-2,70,NA
35222-2,114,NA
35236-2,107,NA
35246-2,185,1747
35251-2,179,NA
35253-2,72,NA
35290-2,175,NA
35293-2,78,NA
35294-2,184,NA
35314-2,114,NA
35329-2,184,NA
35354-2,184,NA
35400-2,91,NA
35406-2,170,NA
35416-2,186,89184
35421-2,148,NA
35518-2,148,NA
35526-2,141,NA
35538-2,140,NA
35545-2,143,NA
35576-2,149,NA
35582-2,150,NA
35604-2,76,NA
35608-2,150,NA
35635-2,136,NA
35662-2,78,NA
35670-2,169,NA
35683-2,181,NA
35704-2,149,NA
35717-2,144,NA
35740-2,180,NA
35774-2,78,NA
35799-2,138,NA
35803-2,127,NA
35824-2,173,NA
35832-2,181,NA
35844-2,142,NA
35859-2,108,NA
35862-2,126,NA
35864-2,118,NA
35879-2,96,NA
35890-2,157,NA
35895-2,121,NA
35896-2,151,NA
35898-2,175,NA
35902-2,148,NA
35906-2,148,NA
35912-2,80,NA
35934-2,129,NA
35935-2,156,NA
35948-2,184,NA
35955-2,173,NA
35957-2,152,NA
35997-2,160,NA
36115-2,167,NA
36117-2,144,NA
36127-2,150,NA
36137-2,150,NA
36154-2,139,NA
36163-2,151,NA
36195-2,145,NA
36199-2,162,NA
36238-2,140,NA
36255-2,146,NA
36273-2,138,NA
36355-2,149,NA
36374-2,158,NA
36377-2,158,114
36440-2,138,NA
36443-2,82,NA
36488-2,152,NA
36506-2,139,NA
36556-2,147,NA
36576-2,170,NA
36598-2,172,NA
36659-2,152,NA
36709-2,146,NA
36800-2,161,NA
36807-2,178,NA
36839-2,150,NA
36860-2,183,NA
36888-2,94,NA
36893-2,150,NA
36916-2,158,NA
36932-2,103,NA
36934-2,109,NA
36987-2,183,NA
36990-2,142,NA
36996-2,65,NA
37020-2,143,NA
37022-2,176,NA
37027-2,99,NA
37044-2,166,NA
37063-2,148,NA
37088-2,144,NA
37126-2,142,NA
37143-2,79,NA
37157-2,109,NA
37186-2,161,NA
37194-2,161,NA
37199-2,84,NA
37203-2,173,NA
37212-2,140,NA
37218-2,101,NA
37236-2,63,NA
37251-2,101,NA
37260-2,126,NA
37312-2,61,NA
37326-2,154,NA
37370-2,163,NA
37377-2,151,NA
37406-2,120,NA
37409-2,143,NA
37445-2,174,NA
37447-2,150,NA
37479-2,138,NA
37488-2,88,NA
37524-2,182,NA
37527-2,114,NA
37541-2,173,NA
37565-2,97,NA
37593-2,65,NA
37646-2,151,NA
37680-2,153,NA
37722-2,169,NA
37730-2,84,NA
37737-2,70,NA
37774-2,147,NA
37781-2,139,NA
37785-2,121,NA
37793-2,167,NA
37816-2,145,NA
37826-2,179,NA
37828-2,188,NA
37849-2,178,NA
37871-2,143,NA
37895-2,91,NA
37923-2,137,1747
